University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,full_address,location,Latitude,Longitude
Savannah College of Art and Design,Savannah,GA,Roman Catholic,99.87,85.18,51.87,77.721,"Savannah College of Art and Design, Savannah, GA","Savannah College of Art and Design, 3121, Barnard Street, Savannah Historic District, Savannah, Chatham County, Georgia, 31401, United States",32.07776915,-81.10099365718662
D'Youville  University,Buffalo,NY,Roman Catholic,33.69,47.77,49.4,42.792,"D'Youville  University, Buffalo, NY","D'Youville University, Osborne Alley, Buffalo, Erie County, New York, 14201, United States",42.902835800000005,-78.8910200854379
Marist College,Poughkeepsie,NY,Roman Catholic,77.76,60.3,49.88,63.111,"Marist College, Poughkeepsie, NY","Marist College, Fairview, Town of Poughkeepsie, Dutchess County, New York, United States",41.722007000000005,-73.93438356318902
Marymount Manhattan College,New York,NY,Roman Catholic,46.81,42.23,49.12,46.82,"Marymount Manhattan College, New York, NY","Marymount Manhattan College, East 71st Street, Lenox Hill, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10021, United States",40.76893065,-73.959696351204
Mercy University,Dobbs Ferry,NY,Roman Catholic,74.12,66.02,50.32,62.974,"Mercy University, Dobbs Ferry, NY","Mercy University, Hudson Drive, Village of Dobbs Ferry, Town of Greenburgh, Westchester County, New York, 10522, United States",41.02156265,-73.87446425294797
St. Francis College,Brooklyn,NY,Roman Catholic,46.89,44.91,48.21,47.023,"St. Francis College, Brooklyn, NY","Saint Francis College, Remsen Street, Downtown Brooklyn, Brooklyn, Kings County, City of New York, New York, 11201, United States",40.6930666,-73.99220306902977
St. Joseph's University-New York,Brooklyn,NY,Roman Catholic,50.84,52.87,49.12,50.557,"St. Joseph's University-New York, Brooklyn, NY","St. Joseph's University, Washington Avenue, Clinton Hill, Brooklyn, Kings County, City of New York, New York, 11205, United States",40.69042755,-73.96777524013841
Washington & Jefferson College,Washington,PA,Roman Catholic,36.35,41.1,50.36,42.907,"Washington & Jefferson College, Washington, PA","Washington & Jefferson College, North Avenue, Washington, Washington County, Pennsylvania, 15301, United States",40.1719209,-80.24134964025063
Spring Hill College,Mobile,AL,Roman Catholic               ,33.91,41.76,47.85,41.059,"Spring Hill College, Mobile, AL","Spring Hill College, Loyola Lane, Spring Hill, Mobile, Mobile County, Alabama, 36608, United States",30.6920656,-88.13570396556952
Mount Saint Mary's University,Los Angeles,CA,Roman Catholic               ,58.0,46.14,50.92,52.796,"Mount Saint Mary's University, Los Angeles, CA","Mount Saint Mary's University, Mount Saint Mary's Fire Road, Los Angeles, Los Angeles County, California, 90049, United States",34.085220050000004,-118.48246863055016
Santa Clara University,Santa Clara,CA,Roman Catholic               ,98.2,70.88,51.2,73.927,"Santa Clara University, Santa Clara, CA","Santa Clara University, 500, El Camino Real, Santa Clara, Santa Clara County, California, 95053, United States",37.3486243,-121.93654400537928
Regis University,Denver,CO,Roman Catholic               ,52.31,50.2,48.96,50.547,"Regis University, Denver, CO","Regis University, 3333, Regis Boulevard, Regis, Denver, Colorado, 80221, United States",39.789711100000005,-105.0313694671746
Albertus Magnus College,New Haven,CT,Roman Catholic               ,36.66,41.06,48.84,42.415,"Albertus Magnus College, New Haven, CT","Albertus Magnus College, 700, Prospect Street, Prospect Hill Historic District, New Haven, Connecticut, 06511, United States",41.332772,-72.92254564135219
Fairfield University,Fairfield,CT,Roman Catholic               ,99.39,61.26,49.96,71.985,"Fairfield University, Fairfield, CT","Fairfield University, 1073, North Benson Road, Fairfield, Greater Bridgeport Planning Region, Connecticut, 06824, United States",41.15967565,-73.25740310197213
Holy Apostles College and Seminary,Cromwell,CT,Roman Catholic               ,24.83,40.98,54.22,39.822,"Holy Apostles College and Seminary, Cromwell, CT","Holy Apostles College and Seminary, 33, Prospect Hill Road, North Cromwell, Cromwell, Lower Connecticut River Valley Planning Region, Connecticut, 06416, United States",41.6061767,-72.64540399602825
Sacred Heart University,Fairfield,CT,Roman Catholic               ,99.87,81.43,49.76,76.127,"Sacred Heart University, Fairfield, CT","Sacred Heart University, 5151, Park Avenue, Fairfield, Greater Bridgeport Planning Region, Connecticut, 06825, United States",41.22259745,-73.24446729633347
University of Saint Joseph,West Hartford,CT,Roman Catholic               ,36.58,47.65,49.28,43.876,"University of Saint Joseph, West Hartford, CT","University of Saint Joseph, 1678, Asylum Avenue, West Hartford, Capitol Planning Region, Connecticut, 06117, United States",41.7825213,-72.73120656750822
Barry University,Miami,FL,Roman Catholic               ,58.59,57.14,48.92,54.429,"Barry University, Miami, FL","Barry University, 11300, Northeast 2nd Avenue, Miami Shores, Miami-Dade County, Florida, 33161, United States",25.8790289,-80.20151680720551
Saint Leo University,Saint Leo,FL,Roman Catholic               ,81.59,55.49,48.96,63.313,"Saint Leo University, Saint Leo, FL","Saint Leo University, 33701, Mc Mullen Drive, Saint Leo, Pasco County, Florida, 33574, United States",28.3385394,-82.25807054363955
St. Thomas University,Miami Gardens,FL,Roman Catholic               ,71.46,52.39,49.32,58.787,"St. Thomas University, Miami Gardens, FL","Saint Thomas University, Northwest 166th Street, Miami Gardens, Miami-Dade County, Florida, 33054, United States",25.92128605,-80.2564809131741
Chaminade University of Honolulu,Honolulu,HI,Roman Catholic               ,42.07,44.95,49.36,45.564,"Chaminade University of Honolulu, Honolulu, HI","Chaminade University, Keanu Street, Kaimukī, East Honolulu, Honolulu, Honolulu County, Hawaii, 96186, United States",21.29026655,-157.80734776364193
DePaul University,Chicago,IL,Roman Catholic               ,99.87,93.54,50.48,78.834,"DePaul University, Chicago, IL","DePaul University, West Fullerton Avenue, Sheffield Neighbors, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",41.9245803,-87.65072230067958
Benedictine University,Lisle,IL,Roman Catholic               ,42.62,50.4,48.92,46.696,"Benedictine University, Lisle, IL","Benedictine University, 5700, College Road, Lisle, DuPage County, Illinois, 60532, United States",41.777997600000006,-88.09699355549967
Lewis University,Romeoville,IL,Roman Catholic               ,56.79,64.65,49.4,55.402,"Lewis University, Romeoville, IL","Lewis University, Lot X, Romeoville, Will County, Illinois, 60446, United States",41.60277235,-88.08221382800252
Loyola University Chicago,Chicago,IL,Roman Catholic               ,99.87,93.46,58.82,82.157,"Loyola University Chicago, Chicago, IL","Loyola University Chicago, 1032, West Sheridan Road, Edgewater Glen, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60660, United States",41.999149200000005,-87.65737041681818
Quincy University,Quincy,IL,Roman Catholic               ,44.55,40.48,48.17,45.186,"Quincy University, Quincy, IL","Quincy University, Highland Drive, Quincy, Adams County, Illinois, 62301, United States",39.95544185,-91.38969180343577
Dominican University,River Forest,IL,Roman Catholic               ,78.26,47.01,49.88,60.656,"Dominican University, River Forest, IL","Dominican University, 7900, Division Street, River Forest, Cook County, Illinois, 60305, United States",41.90289665,-87.82262656814642
University of St Francis,Joliet,IL,Roman Catholic               ,34.42,51.12,49.16,43.657,"University of St Francis, Joliet, IL","University of St. Francis, Plainfield Road, Joliet, Will County, Illinois, 60434, United States",41.53393125,-88.09735128052655
Saint Xavier University,Chicago,IL,Roman Catholic               ,64.36,49.2,42.47,52.568,"Saint Xavier University, Chicago, IL","Saint Xavier University, 3700, West 103rd Street, Mount Greenwood, Chicago, Lake Township, Cook County, Illinois, 60655, United States",41.70792405,-87.71463117997662
Calumet College of Saint Joseph,Whiting,IN,Roman Catholic               ,34.2,38.29,48.68,40.814,"Calumet College of Saint Joseph, Whiting, IN","Calumet College of Saint Joseph, 2400, New York Avenue, Whiting, North Township, Lake County, Indiana, 46394, United States",41.6711327,-87.49426730404375
Holy Cross College,Notre Dame,IN,Roman Catholic               ,40.05,39.13,49.44,43.625,"Holy Cross College, Notre Dame, IN","Holy Cross College, Holy Cross Parkway, South Bend, Saint Joseph County, Indiana, 46624, United States",41.6980783,-86.25322329862374
Marian University,Indianapolis,IN,Roman Catholic               ,77.64,52.75,49.2,61.282,"Marian University, Indianapolis, IN","Marian University, 3200, Cold Spring Road, Brooklyn Heights, Indianapolis, Marion County, Indiana, 46222, United States",39.8118912,-86.20426576405468
University of Notre Dame,Notre Dame,IN,Roman Catholic               ,99.87,85.01,57.06,79.764,"University of Notre Dame, Notre Dame, IN","University of Notre Dame du Lac, Ironwood Road, Maple Lane, Notre Dame, Saint Joseph County, Indiana, 46556, United States",41.70456775,-86.23822026017265
University of Saint Francis-Fort Wayne,Fort Wayne,IN,Roman Catholic               ,51.87,46.14,49.84,49.913,"University of Saint Francis-Fort Wayne, Fort Wayne, IN","University of Saint Francis, 2701, Spring Street, Fort Wayne, Allen County, Indiana, 46808, United States",41.08693075,-85.17898051025168
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,Roman Catholic               ,41.92,41.53,48.09,44.312,"Saint Mary-of-the-Woods College, Saint Mary of the Woods, IN","Saint Mary-of-the-Woods College, Saint Marys Road, Saint Mary-of-the-Woods, Vigo County, Indiana, 47876, United States",39.509411,-87.45979483919632
Saint Mary's College,Notre Dame,IN,Roman Catholic               ,55.09,42.9,52.47,51.606,"Saint Mary's College, Notre Dame, IN","Saint Mary's College, Holy Cross Circle, Notre Dame, Saint Joseph County, Indiana, 46624, United States",41.70747445,-86.25628011081898
Briar Cliff University,Sioux City,IA,Roman Catholic               ,30.78,40.32,49.12,40.028,"Briar Cliff University, Sioux City, IA","Briar Cliff University, Broken Kettle Road, Sioux City, Woodbury County, Iowa, 51104, United States",42.52670705,-96.42835954012573
Clarke University,Dubuque,IA,Roman Catholic               ,33.18,39.94,50.0,41.264,"Clarke University, Dubuque, IA","Clarke University, Clarke Drive, College Grandview District, Dubuque, Dubuque County, Iowa, 52001, United States",42.50961785,-90.69069442289413
Loras College,Dubuque,IA,Roman Catholic               ,31.92,41.88,47.49,40.143,"Loras College, Dubuque, IA","Loras College, Catherine Street, Valley View, Dubuque, Dubuque County, Iowa, 52001, United States",42.50504945,-90.67885577552974
Mount Mercy University,Cedar Rapids,IA,Roman Catholic               ,31.81,43.49,52.19,42.302,"Mount Mercy University, Cedar Rapids, IA","Mount Mercy University, Longwood Drive Northeast, Clarendon Hills, Cedar Rapids, Linn County, Iowa, 52402, United States",42.002593000000005,-91.65196889140891
Benedictine College,Atchison,KS,Roman Catholic               ,51.75,43.92,50.0,49.485,"Benedictine College, Atchison, KS","Benedictine College, 1020, North 2nd Street, Atchison, Atchison County, Kansas, 66002, United States",39.57489275,-95.11379211168315
Donnelly College,Kansas City,KS,Roman Catholic               ,25.11,39.05,50.16,37.923,"Donnelly College, Kansas City, KS","Donnelly College, Barnett Avenue, West Lawn, Westheight, Kansas City, Wyandotte County, Kansas, 66102, United States",39.1126406,-94.6509576554054
Newman University,Wichita,KS,Roman Catholic               ,29.36,41.29,50.08,40.038,"Newman University, Wichita, KS","Newman University, South Gordon, Wichita, Sedgwick County, Kansas, 67213, United States",37.67176205,-97.3791849298535
University of Saint Mary,Leavenworth,KS,Roman Catholic               ,34.09,41.18,51.36,42.42,"University of Saint Mary, Leavenworth, KS","University of Saint Mary, 4100, South 4th Street, Wadsworth, Leavenworth, Leavenworth County, Kansas, 66048, United States",39.2778813,-94.90448801998753
Bellarmine University,Louisville,KY,Roman Catholic               ,52.27,49.36,50.28,50.892,"Bellarmine University, Louisville, KY","Bellarmine University, 2001, Newburg Road, Highlands, Louisville, Jefferson County, Kentucky, 40205, United States",38.2187504,-85.70584113751073
Brescia University,Owensboro,KY,Roman Catholic               ,27.56,40.87,49.28,38.914,"Brescia University, Owensboro, KY","Brescia University, Saint Ann Street, Owensboro, Daviess County, Kentucky, 42303, United States",37.7683615,-87.11177799671128
Spalding University,Louisville,KY,Roman Catholic               ,28.26,44.16,50.0,40.139,"Spalding University, Louisville, KY","Spalding University, Library Lane, Louisville, Jefferson County, Kentucky, 40203, United States",38.24240815,-85.75856192110415
Thomas More University,Crestview Hills,KY,Roman Catholic               ,43.05,42.94,49.28,45.522,"Thomas More University, Crestview Hills, KY","Thomas More University, Turkeyfoot Road, Crestview Hills, Kenton County, Kentucky, 41017, United States",39.02091849999999,-84.56769555987898
Loyola University New Orleans,New Orleans,LA,Roman Catholic               ,57.06,49.96,49.0,52.415,"Loyola University New Orleans, New Orleans, LA","Loyola University New Orleans, Saint Charles Avenue, Black Pearl, Greenville, New Orleans, Orleans Parish, Louisiana, 70118, United States",29.9356364,-90.12045155517568
University of Holy Cross,New Orleans,LA,Roman Catholic               ,24.04,39.78,50.68,37.849,"University of Holy Cross, New Orleans, LA","University of Holy Cross, Woodland Drive, Aurora Gardens, New Orleans, Orleans Parish, Louisiana, 70131, United States",29.91198085,-89.99629395173727
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,Roman Catholic               ,25.59,40.71,49.0,37.982,"Franciscan Missionaries of Our Lady University, Baton Rouge, LA","Franciscan Missionaries of Our Lady University, Brittany Drive, Silverside, Baton Rouge, East Baton Rouge Parish, Louisiana, 70836, United States",30.40067515,-91.10924666026298
Xavier University of Louisiana,New Orleans,LA,Roman Catholic               ,44.71,47.13,50.36,47.455,"Xavier University of Louisiana, New Orleans, LA","Xavier University of Louisiana, 1, Drexel Drive, Hollygrove, New Orleans, Orleans Parish, Louisiana, 70135, United States",29.9638897,-90.10922358519306
Loyola University Maryland,Baltimore,MD,Roman Catholic               ,98.03,56.04,49.88,70.366,"Loyola University Maryland, Baltimore, MD","Loyola University Maryland, 4501, North Charles Street, Guilford, Greater Roland Park, Baltimore, Maryland, 21210, United States",39.34835375,-76.61593184876489
